d.cod_familiar_fam;d.fx_rfpc;nom_pessoa;num_nis_pessoa_atual;dta_nasc_pessoa;cod_parentesco_rf_pessoa;nom_completo_mae_pessoa
10000000;1;FAMILIA 0;10000000000;01/01/1985;1;MÃE 0
10000001;2;FAMILIA 1;10000000001;01/01/1985;1;MÃE 1
10000002;3;FAMILIA 2;10000000002;01/01/1985;1;MÃE 2
10000003;1;FAMILIA 3;10000000003;01/01/1985;1;MÃE 3
10000004;2;FAMILIA 4;10000000004;01/01/1985;1;MÃE 4
10000005;3;FAMILIA 5;10000000005;01/01/1985;1;MÃE 5
10000006;1;FAMILIA 6;10000000006;01/01/1985;1;MÃE 6
10000007;2;FAMILIA 7;10000000007;01/01/1985;1;MÃE 7
10000008;3;FAMILIA 8;10000000008;01/01/1985;1;MÃE 8
10000009;1;FAMILIA 9;10000000009;01/01/1985;1;MÃE 9
10000010;2;FAMILIA 10;10000000010;01/01/1985;1;MÃE 10
10000011;3;FAMILIA 11;10000000011;01/01/1985;1;MÃE 11
10000012;1;FAMILIA 12;10000000012;01/01/1985;1;MÃE 12
10000013;2;FAMILIA 13;10000000013;01/01/1985;1;MÃE 13
10000014;3;FAMILIA 14;10000000014;01/01/1985;1;MÃE 14
10000015;1;FAMILIA 15;10000000015;01/01/1985;1;MÃE 15
10000016;2;FAMILIA 16;10000000016;01/01/1985;1;MÃE 16
10000017;3;FAMILIA 17;10000000017;01/01/1985;1;MÃE 17
10000018;1;FAMILIA 18;10000000018;01/01/1985;1;MÃE 18
10000019;2;FAMILIA 19;10000000019;01/01/1985;1;MÃE 19
10000020;3;FAMILIA 20;10000000020;01/01/1985;1;MÃE 20
10000021;1;FAMILIA 21;10000000021;01/01/1985;1;MÃE 21
10000022;2;FAMILIA 22;10000000022;01/01/1985;1;MÃE 22
10000023;3;FAMILIA 23;10000000023;01/01/1985;1;MÃE 23
10000024;1;FAMILIA 24;10000000024;01/01/1985;1;MÃE 24
10000025;2;FAMILIA 25;10000000025;01/01/1985;1;MÃE 25
10000026;3;FAMILIA 26;10000000026;01/01/1985;1;MÃE 26
10000027;1;FAMILIA 27;10000000027;01/01/1985;1;MÃE 27
10000028;2;FAMILIA 28;10000000028;01/01/1985;1;MÃE 28
10000029;3;FAMILIA 29;10000000029;01/01/1985;1;MÃE 29
10000030;1;FAMILIA 30;10000000030;01/01/1985;1;MÃE 30
10000031;2;FAMILIA 31;10000000031;01/01/1985;1;MÃE 31
10000032;3;FAMILIA 32;10000000032;01/01/1985;1;MÃE 32
10000033;1;FAMILIA 33;10000000033;01/01/1985;1;MÃE 33
10000034;2;FAMILIA 34;10000000034;01/01/1985;1;MÃE 34
10000035;3;FAMILIA 35;10000000035;01/01/1985;1;MÃE 35
10000036;1;FAMILIA 36;10000000036;01/01/1985;1;MÃE 36
10000037;2;FAMILIA 37;10000000037;01/01/1985;1;MÃE 37
10000038;3;FAMILIA 38;10000000038;01/01/1985;1;MÃE 38
10000039;1;FAMILIA 39;10000000039;01/01/1985;1;MÃE 39
10000040;2;FAMILIA 40;10000000040;01/01/1985;1;MÃE 40
10000041;3;FAMILIA 41;10000000041;01/01/1985;1;MÃE 41
10000042;1;FAMILIA 42;10000000042;01/01/1985;1;MÃE 42
10000043;2;FAMILIA 43;10000000043;01/01/1985;1;MÃE 43
10000044;3;FAMILIA 44;10000000044;01/01/1985;1;MÃE 44
10000045;1;FAMILIA 45;10000000045;01/01/1985;1;MÃE 45
10000046;2;FAMILIA 46;10000000046;01/01/1985;1;MÃE 46
10000047;3;FAMILIA 47;10000000047;01/01/1985;1;MÃE 47
10000048;1;FAMILIA 48;10000000048;01/01/1985;1;MÃE 48
10000049;2;FAMILIA 49;10000000049;01/01/1985;1;MÃE 49
10000050;3;FAMILIA 50;10000000050;01/01/1985;1;MÃE 50
10000051;1;FAMILIA 51;10000000051;01/01/1985;1;MÃE 51
10000052;2;FAMILIA 52;10000000052;01/01/1985;1;MÃE 52
10000053;3;FAMILIA 53;10000000053;01/01/1985;1;MÃE 53
10000054;1;FAMILIA 54;10000000054;01/01/1985;1;MÃE 54
10000055;2;FAMILIA 55;10000000055;01/01/1985;1;MÃE 55
10000056;3;FAMILIA 56;10000000056;01/01/1985;1;MÃE 56
10000057;1;FAMILIA 57;10000000057;01/01/1985;1;MÃE 57
10000058;2;FAMILIA 58;10000000058;01/01/1985;1;MÃE 58
10000059;3;FAMILIA 59;10000000059;01/01/1985;1;MÃE 59
10000060;1;FAMILIA 60;10000000060;01/01/1985;1;MÃE 60
10000061;2;FAMILIA 61;10000000061;01/01/1985;1;MÃE 61
10000062;3;FAMILIA 62;10000000062;01/01/1985;1;MÃE 62
10000063;1;FAMILIA 63;10000000063;01/01/1985;1;MÃE 63
10000064;2;FAMILIA 64;10000000064;01/01/1985;1;MÃE 64
10000065;3;FAMILIA 65;10000000065;01/01/1985;1;MÃE 65
10000066;1;FAMILIA 66;10000000066;01/01/1985;1;MÃE 66
10000067;2;FAMILIA 67;10000000067;01/01/1985;1;MÃE 67
10000068;3;FAMILIA 68;10000000068;01/01/1985;1;MÃE 68
10000069;1;FAMILIA 69;10000000069;01/01/1985;1;MÃE 69
10000070;2;FAMILIA 70;10000000070;01/01/1985;1;MÃE 70
10000071;3;FAMILIA 71;10000000071;01/01/1985;1;MÃE 71
10000072;1;FAMILIA 72;10000000072;01/01/1985;1;MÃE 72
10000073;2;FAMILIA 73;10000000073;01/01/1985;1;MÃE 73
10000074;3;FAMILIA 74;10000000074;01/01/1985;1;MÃE 74
10000075;1;FAMILIA 75;10000000075;01/01/1985;1;MÃE 75
10000076;2;FAMILIA 76;10000000076;01/01/1985;1;MÃE 76
10000077;3;FAMILIA 77;10000000077;01/01/1985;1;MÃE 77
10000078;1;FAMILIA 78;10000000078;01/01/1985;1;MÃE 78
10000079;2;FAMILIA 79;10000000079;01/01/1985;1;MÃE 79
10000080;3;FAMILIA 80;10000000080;01/01/1985;1;MÃE 80
10000081;1;FAMILIA 81;10000000081;01/01/1985;1;MÃE 81
10000082;2;FAMILIA 82;10000000082;01/01/1985;1;MÃE 82
10000083;3;FAMILIA 83;10000000083;01/01/1985;1;MÃE 83
10000084;1;FAMILIA 84;10000000084;01/01/1985;1;MÃE 84
10000085;2;FAMILIA 85;10000000085;01/01/1985;1;MÃE 85
10000086;3;FAMILIA 86;10000000086;01/01/1985;1;MÃE 86
10000087;1;FAMILIA 87;10000000087;01/01/1985;1;MÃE 87
10000088;2;FAMILIA 88;10000000088;01/01/1985;1;MÃE 88
10000089;3;FAMILIA 89;10000000089;01/01/1985;1;MÃE 89
10000090;1;FAMILIA 90;10000000090;01/01/1985;1;MÃE 90
10000091;2;FAMILIA 91;10000000091;01/01/1985;1;MÃE 91
10000092;3;FAMILIA 92;10000000092;01/01/1985;1;MÃE 92
10000093;1;FAMILIA 93;10000000093;01/01/1985;1;MÃE 93
10000094;2;FAMILIA 94;10000000094;01/01/1985;1;MÃE 94
10000095;3;FAMILIA 95;10000000095;01/01/1985;1;MÃE 95
10000096;1;FAMILIA 96;10000000096;01/01/1985;1;MÃE 96
10000097;2;FAMILIA 97;10000000097;01/01/1985;1;MÃE 97
10000098;3;FAMILIA 98;10000000098;01/01/1985;1;MÃE 98
10000099;1;FAMILIA 99;10000000099;01/01/1985;1;MÃE 99
10000100;2;FAMILIA 100;10000000100;01/01/1985;1;MÃE 100
10000101;3;FAMILIA 101;10000000101;01/01/1985;1;MÃE 101
10000102;1;FAMILIA 102;10000000102;01/01/1985;1;MÃE 102
10000103;2;FAMILIA 103;10000000103;01/01/1985;1;MÃE 103
10000104;3;FAMILIA 104;10000000104;01/01/1985;1;MÃE 104
10000105;1;FAMILIA 105;10000000105;01/01/1985;1;MÃE 105
10000106;2;FAMILIA 106;10000000106;01/01/1985;1;MÃE 106
10000107;3;FAMILIA 107;10000000107;01/01/1985;1;MÃE 107
10000108;1;FAMILIA 108;10000000108;01/01/1985;1;MÃE 108
10000109;2;FAMILIA 109;10000000109;01/01/1985;1;MÃE 109
10000110;3;FAMILIA 110;10000000110;01/01/1985;1;MÃE 110
10000111;1;FAMILIA 111;10000000111;01/01/1985;1;MÃE 111
10000112;2;FAMILIA 112;10000000112;01/01/1985;1;MÃE 112
10000113;3;FAMILIA 113;10000000113;01/01/1985;1;MÃE 113
10000114;1;FAMILIA 114;10000000114;01/01/1985;1;MÃE 114
10000115;2;FAMILIA 115;10000000115;01/01/1985;1;MÃE 115
10000116;3;FAMILIA 116;10000000116;01/01/1985;1;MÃE 116
10000117;1;FAMILIA 117;10000000117;01/01/1985;1;MÃE 117
10000118;2;FAMILIA 118;10000000118;01/01/1985;1;MÃE 118
10000119;3;FAMILIA 119;10000000119;01/01/1985;1;MÃE 119
10000120;1;FAMILIA 120;10000000120;01/01/1985;1;MÃE 120
10000121;2;FAMILIA 121;10000000121;01/01/1985;1;MÃE 121
10000122;3;FAMILIA 122;10000000122;01/01/1985;1;MÃE 122
10000123;1;FAMILIA 123;10000000123;01/01/1985;1;MÃE 123
10000124;2;FAMILIA 124;10000000124;01/01/1985;1;MÃE 124
10000125;3;FAMILIA 125;10000000125;01/01/1985;1;MÃE 125
10000126;1;FAMILIA 126;10000000126;01/01/1985;1;MÃE 126
10000127;2;FAMILIA 127;10000000127;01/01/1985;1;MÃE 127
10000128;3;FAMILIA 128;10000000128;01/01/1985;1;MÃE 128
10000129;1;FAMILIA 129;10000000129;01/01/1985;1;MÃE 129
10000130;2;FAMILIA 130;10000000130;01/01/1985;1;MÃE 130
10000131;3;FAMILIA 131;10000000131;01/01/1985;1;MÃE 131
10000132;1;FAMILIA 132;10000000132;01/01/1985;1;MÃE 132
10000133;2;FAMILIA 133;10000000133;01/01/1985;1;MÃE 133
10000134;3;FAMILIA 134;10000000134;01/01/1985;1;MÃE 134
10000135;1;FAMILIA 135;10000000135;01/01/1985;1;MÃE 135
10000136;2;FAMILIA 136;10000000136;01/01/1985;1;MÃE 136
10000137;3;FAMILIA 137;10000000137;01/01/1985;1;MÃE 137
10000138;1;FAMILIA 138;10000000138;01/01/1985;1;MÃE 138
10000139;2;FAMILIA 139;10000000139;01/01/1985;1;MÃE 139
10000140;3;FAMILIA 140;10000000140;01/01/1985;1;MÃE 140
10000141;1;FAMILIA 141;10000000141;01/01/1985;1;MÃE 141
10000142;2;FAMILIA 142;10000000142;01/01/1985;1;MÃE 142
10000143;3;FAMILIA 143;10000000143;01/01/1985;1;MÃE 143
10000144;1;FAMILIA 144;10000000144;01/01/1985;1;MÃE 144
